categoria,metrica,valor,unidad
sistema,total_eventos,12312,eventos
planta_principal,nivel_minimo_registrado,0.0,varios
planta_principal,nivel_maximo_registrado,90000,varios
planta_principal,tiempo_bajo_critico,6340.200000013059,varios
planta_principal,numero_quiebres_stock,35,varios
planta_principal,numero_reabastecimientos,34,varios
planta_principal,volumen_total_recibido,1700000.0,varios
planta_principal,volumen_total_suministrado,1783569.5107509557,varios
demanda_regional,demanda_total_generada,2652891.4919987107,varios
demanda_regional,demanda_total_satisfecha,1783569.5107509557,varios
demanda_regional,numero_eventos_demanda,364,varios
demanda_regional,numero_eventos_no_satisfechos,108,varios
demanda_regional,tiempo_acumulado_desabastecimiento,0.0,varios
demanda_regional,poblacion_objetivo,108000,varios
demanda_regional,consumo_per_capita_configurado,24.5,varios
demanda_regional,demanda_base_diaria_calculada,7249.315068493151,varios
demanda_regional,tasa_satisfaccion,67.23115197626117,varios
demanda_regional,demanda_promedio_por_evento,7288.163439556897,varios
demanda_regional,tasa_eventos_no_satisfechos,29.67032967032967,varios
demanda_regional,consumo_per_capita_real,16.514532506953294,varios
demanda_regional,desviacion_consumo_per_capita,7.985467493046706,varios
demanda_regional,factor_estacional_actual,0.9281867679015952,varios
proveedor_principal,eventos_completados,34,varios
proveedor_principal,tiempo_operativo,0.0,varios
proveedor_principal,volumen_total_suministrado,1700000.0,varios
